target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
1022.57,161.89,1000,1045.01,112.387,1000.11
1021.76,163.15,1000,1044.64,113.3,1000.11
1020.94,164.407,1000,1043.89,115.124,1000.1
1020.11,165.66,1000,1043.51,116.033,1000.09
1019.28,166.908,1000,1043.13,116.941,1000.09
1018.44,168.153,1000,1042.35,118.752,1000.08
1017.6,169.393,1000,1041.96,119.655,1000.07
1016.75,170.629,1000,1041.16,121.458,1000.07
1015.89,171.86,1000,1040.76,122.357,1000.06
1015.03,173.088,1000,1040.35,123.254,1000.06
1014.16,174.311,1000,1039.53,125.044,1000.05
1013.29,175.529,1000,1039.11,125.937,1000.05
1012.41,176.743,1000,1038.69,126.828,1000.04
1011.52,177.953,1000,1037.84,128.606,1000.04
1010.63,179.159,1000,1037.41,129.492,1000.03
1009.73,180.36,1000,1036.97,130.377,1000.03
1008.83,181.556,1000,1036.1,132.142,1000.02
1007.91,182.748,1000,1035.66,133.022,1000.02
1007,183.935,1000,1034.76,134.777,1000.01
1006.08,185.118,1000,1034.31,135.652,1000.01
1005.15,186.296,1000,1033.85,136.526,1000.01
1004.21,187.469,1000,1032.93,138.268,1000
1003.27,188.638,1000,1032.47,139.136,999.999
1002.33,189.802,1000,1032,140.003,999.996
1001.37,190.961,1000,1031.05,141.731,999.991
1000.42,192.116,1000,1030.58,142.593,999.988
999.453,193.265,1000,1030.09,143.453,999.985
998.483,194.41,1000,1029.12,145.168,999.979
997.509,195.55,1000,1028.63,146.022,999.977
996.528,196.685,1000,1028.14,146.875,999.974
995.542,197.815,1000,1027.15,148.576,999.969
994.55,198.941,1000,1026.65,149.424,999.967
993.552,200.061,1000,1026.14,150.27,999.964
992.549,201.176,1000,1025.12,151.956,999.959
991.541,202.286,1000,1024.61,152.797,999.957
990.526,203.392,1000,1024.09,153.635,999.955
989.507,204.492,1000,1023.05,155.307,999.95
988.481,205.587,1000,1022.53,156.14,999.948
987.451,206.676,1000,1022,156.971,999.945
986.415,207.761,1000,1021.47,157.801,999.943
985.373,208.841,1000,1020.39,159.454,999.938
984.326,209.915,1000,1019.85,160.278,999.936
983.274,210.984,1000,1019.31,161.099,999.933
982.216,212.048,1000,1018.22,162.737,999.929
981.154,213.106,1000,1017.67,163.553,999.927
980.085,214.159,1000,1017.11,164.367,999.924
979.012,215.207,1000,1015.99,165.989,999.92
977.933,216.249,1000,1015.43,166.797,999.918
976.85,217.286,1000,1014.86,167.603,999.916
975.761,218.318,1000,1014.3,168.407,999.913
974.666,219.344,1000,1013.15,170.009,999.909
973.567,220.364,1000,1012.57,170.807,999.907
972.463,221.379,1000,1011.99,171.602,999.904
971.353,222.389,1000,1011.41,172.396,999.902
970.239,223.393,1000,1010.23,173.977,999.897
969.119,224.391,1000,1009.64,174.765,999.895
967.995,225.384,1000,1009.05,175.55,999.893
966.866,226.371,1000,1007.85,177.114,999.889
965.731,227.353,1000,1007.25,177.893,999.887
964.592,228.329,1000,1006.64,178.67,999.884
963.448,229.299,1000,1006.03,179.445,999.882
962.299,230.263,1000,1004.81,180.987,999.878
961.145,231.222,1000,1004.19,181.756,999.875
